Perspectiva,Localizacao,Categoria,ano,mes,Competencia,Admissoes,Demissoes,Saldo,Salario_Medio,Estoque
Recife C&T,Recife,C&T,2025,6,202506,470,495,-25,2544.844761410788,1713
Recife C&T,Recife,C&T,2025,7,202507,541,450,91,2455.214335025381,1804
Recife C&T,Recife,C&T,2025,8,202508,482,474,8,2992.7236858638744,1812
Recife C&T,Recife,C&T,2025,9,202509,627,452,175,2852.7558186864017,1987
Recife C&T,Recife,C&T,2025,10,202510,665,404,261,2870.3603878902554,2248
Recife TI,Recife,TI,2024,1,202401,283,216,67,5646.865469061877,10477
Recife TI,Recife,TI,2024,2,202402,260,176,84,5242.483096330275,10561
Recife TI,Recife,TI,2024,3,202403,279,215,64,4735.063502024292,10625
Recife TI,Recife,TI,2024,4,202404,302,303,-1,4612.081133004926,10624
Recife TI,Recife,TI,2024,5,202405,304,223,81,4699.6965413533835,10705
Recife TI,Recife,TI,2024,6,202406,277,229,48,4979.037885375494,10753
Recife TI,Recife,TI,2024,7,202407,296,223,73,5550.297907869482,10826
Recife TI,Recife,TI,2024,8,202408,326,230,96,4798.330555555556,10922
Recife TI,Recife,TI,2024,9,202409,301,219,82,5776.033692307691,11004
Recife TI,Recife,TI,2024,10,202410,322,253,69,5443.566065857885,11073
Recife TI,Recife,TI,2024,11,202411,274,236,38,6444.308948412699,11111
Recife TI,Recife,TI,2024,12,202412,402,274,128,7255.386192592592,11239
Recife TI,Recife,TI,2025,1,202501,442,294,148,5035.562334254144,11387
Recife TI,Recife,TI,2025,2,202502,391,344,47,4301.117407912688,11434
Recife TI,Recife,TI,2025,3,202503,326,261,65,5268.615887372014,11499
Recife TI,Recife,TI,2025,4,202504,447,307,140,4626.0393492695885,11639
Recife TI,Recife,TI,2025,5,202505,399,251,148,4470.202553846154,11787
Recife TI,Recife,TI,2025,6,202506,620,362,258,4209.1225865580445,12045
Recife TI,Recife,TI,2025,7,202507,417,295,122,5192.8033753501395,12167
Recife TI,Recife,TI,2025,8,202508,350,340,10,5279.6000289855065,12177
Recife TI,Recife,TI,2025,9,202509,417,301,116,4844.164011142062,12293
Recife TI,Recife,TI,2025,10,202510,786,365,421,4132.998125544899,12714
Salvador C&T,Salvador,C&T,2024,1,202401,458,614,-156,2481.824206642066,-156
Salvador C&T,Salvador,C&T,2024,2,202402,437,592,-155,2405.901776699029,-311
Salvador C&T,Salvador,C&T,2024,3,202403,526,579,-53,2373.139964061096,-364
Salvador C&T,Salvador,C&T,2024,4,202404,564,510,54,2319.3728174235403,-310
Salvador C&T,Salvador,C&T,2024,5,202405,608,855,-247,2434.1670819228166,-557
Salvador C&T,Salvador,C&T,2024,6,202406,501,635,-134,2854.890652173913,-691
Salvador C&T,Salvador,C&T,2024,7,202407,513,920,-407,3041.226580600139,-1098
Salvador C&T,Salvador,C&T,2024,8,202408,494,573,-79,2771.0684629803186,-1177
Salvador C&T,Salvador,C&T,2024,9,202409,476,372,104,2635.951379716981,-1073
Salvador C&T,Salvador,C&T,2024,10,202410,486,784,-298,2713.584603299293,-1371
Salvador C&T,Salvador,C&T,2024,11,202411,452,359,93,2432.0724662576686,-1278
Salvador C&T,Salvador,C&T,2024,12,202412,289,409,-120,2791.0915864022663,-1398
Salvador C&T,Salvador,C&T,2025,1,202501,498,433,65,4044.5132475884247,-1333
Salvador C&T,Salvador,C&T,2025,2,202502,474,434,40,2624.056546052632,-1293
Salvador C&T,Salvador,C&T,2025,3,202503,498,411,87,3449.937958287596,-1206
Salvador C&T,Salvador,C&T,2025,4,202504,523,494,29,2641.05403678606,-1177
Salvador C&T,Salvador,C&T,2025,5,202505,534,460,74,2801.1990040241444,-1103
Salvador C&T,Salvador,C&T,2025,6,202506,358,513,-155,2877.7657749712976,-1258
Salvador C&T,Salvador,C&T,2025,7,202507,493,452,41,2844.1455767195766,-1217
Salvador C&T,Salvador,C&T,2025,8,202508,445,422,23,3416.913783160323,-1194
Salvador C&T,Salvador,C&T,2025,9,202509,472,436,36,4295.905412541254,-1158
Salvador C&T,Salvador,C&T,2025,10,202510,632,506,126,4238.760308370044,-1032
Salvador TI,Salvador,TI,2024,1,202401,173,137,36,4549.373601286174,7096
Salvador TI,Salvador,TI,2024,2,202402,195,182,13,4371.378779840849,7109
Salvador TI,Salvador,TI,2024,3,202403,180,155,25,4064.3819819819823,7134
Salvador TI,Salvador,TI,2024,4,202404,204,172,32,4158.566117021276,7166
Salvador TI,Salvador,TI,2024,5,202405,181,178,3,4027.4963128491613,7169
Salvador TI,Salvador,TI,2024,6,202406,185,258,-73,5154.558988764045,7096
Salvador TI,Salvador,TI,2024,7,202407,135,156,-21,4263.553720136519,7075
Salvador TI,Salvador,TI,2024,8,202408,201,163,38,4183.861703296704,7113
Salvador TI,Salvador,TI,2024,9,202409,216,155,61,4785.387774798928,7174
Salvador TI,Salvador,TI,2024,10,202410,195,174,21,5027.818382749326,7195
Salvador TI,Salvador,TI,2024,11,202411,195,179,16,4061.2704021447726,7211
Salvador TI,Salvador,TI,2024,12,202412,154,138,16,4078.0797602739726,7227
Salvador TI,Salvador,TI,2025,1,202501,191,189,2,4907.660105263158,7229
Salvador TI,Salvador,TI,2025,2,202502,220,249,-29,5645.09277185501,7200
Salvador TI,Salvador,TI,2025,3,202503,138,135,3,4682.906617647059,7203
Salvador TI,Salvador,TI,2025,4,202504,272,184,88,5025.84451754386,7291
Salvador TI,Salvador,TI,2025,5,202505,202,209,-7,5456.817201946472,7284
Salvador TI,Salvador,TI,2025,6,202506,277,180,97,4833.923326039388,7381
Salvador TI,Salvador,TI,2025,7,202507,177,214,-37,5404.345754475703,7344
Salvador TI,Salvador,TI,2025,8,202508,223,215,8,5430.1131963470325,7352
Salvador TI,Salvador,TI,2025,9,202509,189,156,33,5052.820898550724,7385
Salvador TI,Salvador,TI,2025,10,202510,165,181,-16,5439.419768786126,7369
