Perspectiva,Ano_Inicio,Mes_Inicio,Ano_Fim,Mes_Fim,Total_Admissoes,Total_Demissoes,Saldo_Liquido,Estoque_Final,Media_Mensal_Admissoes,Media_Mensal_Demissoes,Salario_Medio_Periodo,Variacao_Admissoes_Pct,Variacao_Demissoes_Pct,Mes_Maior_Admissao,Valor_Maior_Admissao,Mes_Maior_Demissao,Valor_Maior_Demissao,Taxa_Crescimento_Liquido_Pct,Total_Meses
Natal,2024,1,2025,9,140,16,124,124,6.7,0.8,3083.13,-15.6,-62.5,202401,27,202404,3,88.6,21
RN,2024,1,2025,9,59,4,55,55,2.8,0.2,1979.18,18.8,-50.0,202506,10,202401,1,93.2,21
Nordeste,2024,1,2025,9,1181,135,1046,1046,56.2,6.4,3728.59,-22.5,-61.4,202403,105,202401,13,88.6,21
Brasil,2024,1,2025,9,8735,1031,7704,7704,416.0,49.1,3597.96,-28.5,-65.0,202410,1409,202409,117,88.2,21
